区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
日祝,15:00,15,12,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
日祝,21:30,21.5,5,13800,"宿泊1部",10600,"前延長1本 + 休憩(M時間) + 延長1本",3200
日祝,22:00,22,5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
日祝,22:30,22.5,4.5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
日祝,23:00,23,4,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
日祝,23:30,23.5,3.5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
土,13:30,13.5,13,21600,"休憩(サービスタイム2部) + 宿泊1部",18400,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3200
土,14:00,14,13,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
土,14:30,14.5,12.5,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
土,15:00,15,12,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
土,21:30,21.5,5,13800,"宿泊1部",10600,"前延長1本 + 休憩(M時間) + 延長1本",3200
土,22:00,22,5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
土,22:30,22.5,4.5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
土,23:00,23,4,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
土,23:30,23.5,3.5,13800,"宿泊2部",10600,"休憩(M時間) + 延長2本",3200
平日,13:30,13.5,24,25800,"休憩(5時間)(平日) + 宿泊1部(平日)+ 延長3本",23000,"前延長1本 + 休憩(サービスタイム3部) + 宿泊2部",2800
平日,15:30,15.5,24,28600,"前延長5本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本",2800
平日,16:00,16,23,27200,"前延長4本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本",2800
